Webster,President,1,Democrat,Joseph R. Biden,451
Wilkinson,President,1,Democrat,Joseph R. Biden,1039
Winston,President,1,Democrat,Joseph R. Biden,1802
Yalobusha,President,1,Democrat,Joseph R. Biden,1238
Yazoo,President,1,Democrat,Joseph R. Biden,2401
TOTAL,President,1,Democrat,Joseph R. Biden,222160
Webster,President,1,Democrat,Michael R. Bloomberg,26
Wilkinson,President,1,Democrat,Michael R. Bloomberg,42
Winston,President,1,Democrat,Michael R. Bloomberg,76
Yalobusha,President,1,Democrat,Michael R. Bloomberg,71
Yazoo,President,1,Democrat,Michael R. Bloomberg,103
TOTAL,President,1,Democrat,Michael R. Bloomberg,6933
Webster,President,1,Democrat,Pete Buttigieg,3
Wilkinson,President,1,Democrat,Pete Buttigieg,2
Winston,President,1,Democrat,Pete Buttigieg,2
Yalobusha,President,1,Democrat,Pete Buttigieg,3
Yazoo,President,1,Democrat,Pete Buttigieg,7
TOTAL,President,1,Democrat,Pete Buttigieg,562
Webster,President,1,Democrat,Tulsi Gabbard,3
Wilkinson,President,1,Democrat,Tulsi Gabbard,0
Winston,President,1,Democrat,Tulsi Gabbard,5
Yalobusha,President,1,Democrat,Tulsi Gabbard,9
Yazoo,President,1,Democrat,Tulsi Gabbard,6
TOTAL,President,1,Democrat,Tulsi Gabbard,1003
Webster,President,1,Democrat,Amy Klobuchar,3
Wilkinson,President,1,Democrat,Amy Klobuchar,3
Winston,President,1,Democrat,Amy Klobuchar,4
Yalobusha,President,1,Democrat,Amy Klobuchar,5
Yazoo,President,1,Democrat,Amy Klobuchar,1
TOTAL,President,1,Democrat,Amy Klobuchar,440
Webster,President,1,Democrat,Deval Patrick,4
Wilkinson,President,1,Democrat,Deval Patrick,1
Winston,President,1,Democrat,Deval Patrick,1
Yalobusha,President,1,Democrat,Deval Patrick,7
Yazoo,President,1,Democrat,Deval Patrick,2
TOTAL,President,1,Democrat,Deval Patrick,258
Webster,President,1,Democrat,Bernie Sanders,73
Wilkinson,President,1,Democrat,Bernie Sanders,141
Winston,President,1,Democrat,Bernie Sanders,223
Yalobusha,President,1,Democrat,Bernie Sanders,226
Yazoo,President,1,Democrat,Bernie Sanders,380
TOTAL,President,1,Democrat,Bernie Sanders,40657
Webster,President,1,Democrat,Tom Steyer,0
Wilkinson,President,1,Democrat,Tom Steyer,4
Winston,President,1,Democrat,Tom Steyer,6
Yalobusha,President,1,Democrat,Tom Steyer,6
Yazoo,President,1,Democrat,Tom Steyer,5
TOTAL,President,1,Democrat,Tom Steyer,378
Webster,President,1,Democrat,Elizabeth Warren,2
Wilkinson,President,1,Democrat,Elizabeth Warren,11
Winston,President,1,Democrat,Elizabeth Warren,13
Yalobusha,President,1,Democrat,Elizabeth Warren,6
Yazoo,President,1,Democrat,Elizabeth Warren,18
TOTAL,President,1,Democrat,Elizabeth Warren,1550
Webster,President,1,Democrat,Andrew Yang,2
Wilkinson,President,1,Democrat,Andrew Yang,3
Winston,President,1,Democrat,Andrew Yang,5
Yalobusha,President,1,Democrat,Andrew Yang,5
Yazoo,President,1,Democrat,Andrew Yang,2
TOTAL,President,1,Democrat,Andrew Yang,450
